Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
10.0,159.0,1.0,390.0,80.0,186.4,0.006666667,0.014779942,26.98,0.0,Nov,1,2,2,3,Returning_Visitor,False,False
0.0,93.0,0.0,241.7,362.0,897.0903,0.003954802,0.025787879,22.744583,0.0,Dec,2,2,2,9,Returning_Visitor,False,False
1.0,355.5,0.0,474.5,258.0,1844.65,0.005853659,0.021469506,36.65735,0.0,May,2,1,3,13,Returning_Visitor,False,False
2.0,118.55,0.0,0.0,122.0,6117.8145,0.004365079,0.06615887,93.77762,1.0,Mar,2,2,3,15,New_Visitor,False,False
1.0,125.1,6.0,136.17143,247.0,327.0,0.012612613,0.012349829,21.239603,0.0,Nov,1,6,1,19,Returning_Visitor,True,True
6.0,44.295456,0.0,312.75,99.0,3004.6282,0.006857143,0.049,3.2968273,0.0,Nov,3,2,2,4,Returning_Visitor,True,False
5.0,141.03572,3.0,162.66667,111.0,1860.95,0.003896104,0.05533177,37.211838,0.0,Sep,3,2,1,6,Returning_Visitor,True,True
7.0,1449.6666,0.0,269.5,217.0,0.0,0.005194805,0.000833333,1.4518678,0.2,Nov,3,9,1,1,Returning_Visitor,False,False
10.0,198.66667,0.0,93.0,47.0,441.60455,0.001754386,0.013157895,11.717467,0.0,Feb,2,12,2,1,Returning_Visitor,True,True
0.0,26.7,2.0,842.3,148.0,1926.3334,0.018070819,0.015231111,16.968855,0.0,Nov,2,6,3,19,Returning_Visitor,False,True
0.0,163.66667,6.0,132.5,85.0,2104.3113,0.007083333,0.030612404,10.600892,0.0,Mar,2,9,2,1,Returning_Visitor,True,False
0.0,119.0,0.0,70.5,221.0,610.63336,0.012612613,0.000250438,23.988,0.0,Dec,2,5,1,3,Returning_Visitor,False,False
0.0,48.4,0.0,16.133333,149.0,1568.65,0.012452132,0.006015038,43.192287,0.0,Sep,1,2,1,2,Returning_Visitor,True,True
4.0,175.0,0.0,108.0,272.0,976.0,0.016734693,0.018421054,8.08269,0.0,Nov,1,2,2,4,New_Visitor,True,False
21.0,160.2,0.0,842.3,131.0,1171.3334,0.005063291,0.023262411,22.080322,0.0,Nov,1,4,3,3,Returning_Visitor,False,False
0.0,275.33334,6.0,380.95715,184.0,305.24,0.045307443,0.013779093,7.6093717,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
13.0,47.07143,0.0,393.325,159.0,139.25,0.014166667,0.022322606,1.5893298,0.0,Dec,3,11,2,5,Returning_Visitor,False,False
4.0,177.5,0.0,270.6,195.0,968.1964,0.032183908,0.030496867,12.503257,0.0,May,1,12,3,2,New_Visitor,False,False
0.0,474.66666,0.0,13.5,195.0,616.2033,0.015238095,0.04027397,36.65735,1.0,Dec,3,2,1,3,Returning_Visitor,False,False
0.0,170.5,0.0,56.0,19.0,289.55554,0.018642295,0.003921569,47.303703,0.0,Nov,3,9,3,1,Returning_Visitor,False,True
1.0,381.75,0.0,88.0,42.0,748.4,0.003850267,0.028421054,32.222523,0.0,Nov,2,2,1,3,New_Visitor,False,False
2.0,48.4,2.0,985.48334,130.0,132.5,0.002619048,0.03847222,0.20166372,0.0,May,3,6,2,3,Other,True,True
21.0,263.0,0.0,80.6,206.0,1430.2083,0.01533101,0.10144927,9.311854,0.2,May,2,6,1,5,Returning_Visitor,False,False
4.0,84.25,4.0,416.0,205.0,839.73334,0.005110897,0.048148148,23.13,0.0,Nov,3,12,1,5,New_Visitor,True,False
3.0,623.5,0.0,42.4,534.0,2267.331,0.0,0.062,26.8752,1.0,Mar,2,1,2,2,Returning_Visitor,False,False
2.0,379.5,0.0,173.54,13.0,5300.2915,0.002608696,0.011878229,15.477207,0.0,Dec,2,6,3,11,Returning_Visitor,False,False
8.0,624.2,3.0,475.2,291.0,1762.25,0.008732719,0.007758621,44.358486,0.0,Mar,2,2,2,5,Returning_Visitor,False,False
26.0,305.9053,0.0,55.5,211.0,145.04,0.013580247,0.09347826,21.140163,0.0,Dec,2,6,2,11,Returning_Visitor,True,False
0.0,20.2,0.0,428.5476,13.0,1243.8088,0.016438356,0.02627451,11.773674,1.0,June,2,2,2,9,Returning_Visitor,False,False
4.0,59.79,0.0,80.6,140.0,1060.6938,0.0,0.007777778,19.474657,0.0,May,2,12,2,9,Returning_Visitor,False,False
0.0,144.46153,0.0,204.4,221.0,1873.2167,0.058550727,0.017745098,7.9639764,0.0,May,2,1,3,19,Returning_Visitor,False,False
6.0,132.92,6.0,269.8,470.0,365.75,0.006578947,0.013784185,10.8721285,0.0,Mar,1,2,3,3,Returning_Visitor,True,True
0.0,211.96428,0.0,320.5,385.0,716.625,0.020833332,0.020948133,3.9841106,0.0,Dec,1,13,3,1,Returning_Visitor,False,False
0.0,293.57858,0.0,312.75,65.0,2605.7024,0.004022989,0.013960708,2.2735987,0.0,Oct,3,1,1,6,Returning_Visitor,False,False
2.0,65.4,0.0,21.8,129.0,244.75,0.005615082,0.12727273,16.071066,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
17.0,1013.17145,0.0,286.66666,40.0,304.275,0.007179487,0.029612768,9.137331,0.0,Oct,2,2,1,14,Returning_Visitor,False,False
6.0,122.1,1.0,4.0,71.0,4894.851,0.007083333,0.055833332,15.477207,1.0,Dec,2,12,1,3,Returning_Visitor,False,False
20.0,112.125,3.0,944.75,184.0,2646.4,0.003954802,0.03638203,17.987568,0.0,Dec,2,1,1,2,Returning_Visitor,False,False
13.0,169.2,0.0,0.0,115.0,51.066666,0.08,0.03405896,4.2153635,0.0,Dec,3,8,3,19,New_Visitor,False,False
3.0,229.33333,0.0,399.33334,147.0,1430.2083,0.00721393,0.059814814,3.4014387,0.0,Dec,3,2,1,19,Returning_Visitor,False,True
2.0,44.295456,0.0,116.8,132.0,0.5,0.024747474,0.03013889,21.964624,0.2,Dec,1,13,6,5,Returning_Visitor,True,False
4.0,383.3,0.0,84.0,67.0,3065.9453,0.003424658,0.017592592,41.64626,1.0,Feb,2,2,1,1,Returning_Visitor,True,True
0.0,180.0,6.0,80.6,192.0,4284.423,0.007452575,0.007962529,2.491316,0.0,May,1,3,1,2,Returning_Visitor,True,False
