Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,92.3172,0.0,0.0,14.0,613.03143,0.0,0.015969956,0.0,0.0,May,2,2,8,2,New_Visitor,False,False
3.0,243.33664,0.0,0.0,12.0,196.2548,0.0,0.018181818,0.0,0.0,May,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,52.08034,1164.7592,0.0,0.014634394,0.0,0.0,Oct,2,2,2,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,19.0,145.21628,0.018841036,0.03333333,0.0,0.0,May,2,2,1,3,Returning_Visitor,True,False
5.0,103.53787,0.0,0.0,3.0,0.0,0.0,0.022231298,0.0,0.0,Nov,2,5,1,2,Returning_Visitor,False,True
1.0,36.415928,3.0,0.0,37.0,598.87396,0.018354386,0.029949436,0.0,0.0,May,2,4,1,3,Returning_Visitor,False,False
6.0,94.04845,0.0,0.0,42.0,798.92944,0.0,0.0051187994,0.0,0.0,Aug,3,2,2,5,New_Visitor,False,False
7.0,103.72528,0.0,0.0,20.675747,327.19672,0.030520592,0.0554865,0.0,0.0,May,1,2,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,8,3,Returning_Visitor,True,False
4.0,59.88815,0.0,0.0,30.0,106.65196,0.030458277,0.06806193,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
6.0,513.1135,0.0,26.945875,50.0,4365.065,0.0,0.016773853,0.0,0.0,Sep,2,2,5,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,351.0334,0.0035494168,0.014072459,0.0,0.0,Feb,1,1,3,5,Returning_Visitor,False,False
4.0,48.545807,0.0,0.0,22.0,497.2615,0.009276308,0.031294513,0.0,0.0,Nov,2,2,8,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.5429473,34.492867,0.0,0.04658971,0.0,0.0,Mar,2,2,2,3,Returning_Visitor,False,False
