,Unnamed: 0.1,Unnamed: 0,Metric,Result
0,0,0,Attribute Inference Risk,0.66
1,1,1,GeneralizedCAP,0.48
2,2,2,ZeroCAP,0.0
3,3,3,Median Distance to Closest Record,0.74
4,4,4,Hitting Rate,0.0
5,5,5,Membership Inference Risk,0.72
6,6,6,Nearest Neighbour Adversarial Accuracy,0.23
7,7,7,Common Row Proportion,0.39
8,8,8,Nearest Synthetic Neighbour Distance,0.86
9,9,9,Close Value Probability,0.01
10,10,10,Distant Value Probability,0.45
11,11,11,Authenticity,0.5
12,12,12,DetectionMLP,0.4
13,13,13,Identifiability Score,0.29
14,0,0,Distance to Closest Record,0.66
15,1,1,Nearest Neighbour Distance Ratio,0.31
16,2,2,Hidden Rate,0.0
